;s;p;o;source;support;pipeline;Danilo
804;web ontology language;represents;engineering;['heuristic'];[8.0];no;n
361;web ontology language;is;expert systems;['luanyi'];[1];yes;n
143;web ontology language;converts;extensible markup language (xml);['heuristic'];[29];yes;n
343;web ontology language;uses;extensible stylesheet language (xslt);['luanyi'];[2];yes;y
1319;web ontology language;proposes;facebook;['heuristic'];[3.0];no;n
428;web ontology language;is;fuzzy extension;['luanyi'];[1];yes;n
529;web ontology language;uses;fuzzy extension;['luanyi'];[1];yes;y
131;web ontology language;uses;fuzzy logics;['luanyi'];[1];yes;n
994;web ontology language;extends;horn clause;['heuristic'];[5.0];no;n
750;web ontology language;uses;hypertext transfer protocol (http);['heuristic'];[3];yes;n
219;web ontology language;defines;inference;['heuristic'];[29];yes;n
569;web ontology language;supports;inference;['openie'];[1];yes;y
712;web ontology language;uses;inference;['heuristic'];[10];yes;n
1120;web ontology language;maintains;information systems;['heuristic'];[4.0];no;n
1121;web ontology language;includes;intelligent agents;['heuristic'];[4.0];no;n
311;web ontology language;includes;knowledge bases;['luanyi'];[1];yes;n
805;web ontology language;produces;knowledge bases;['heuristic'];[8.0];no;n
130;web ontology language;uses;knowledge engineering;['luanyi'];[1];yes;y
42;web ontology language;is;knowledge management;['luanyi'];[1];yes;n
1122;web ontology language;represents;knowledge management;['heuristic'];[4.0];no;n
466;web ontology language;uses;knowledge representation;['luanyi', 'heuristic'];[1, 14];yes;y
1320;web ontology language;supports;knowledge-sharing;['heuristic'];[3.0];no;y
224;web ontology language;is;logic programming;['luanyi'];[1];yes;n
1321;web ontology language;defines;matching algorithm;['heuristic'];[3.0];no;n
217;web ontology language;is;modeling languages;['luanyi'];[1];yes;y
1123;web ontology language;uses;modeling languages;['heuristic'];[4.0];no;y
1322;web ontology language;provides;natural language processing systems;['heuristic'];[3.0];no;n
390;web ontology language;defines;ontologies;['openie', 'heuristic', 'heuristic'];[9, 280, 276];yes;y
135;web ontology language;includes;ontologies;['luanyi'];[13];yes;n
326;web ontology language;is;ontologies;['openie'];[8];yes;n
1124;web ontology language;defines;ontology alignment;['heuristic'];[4.0];no;n
995;web ontology language;provides;ontology alignment;['heuristic'];[5.0];no;n
575;web ontology language;includes;ontology construction;['luanyi'];[2];yes;n
996;web ontology language;proposes;ontology construction;['heuristic'];[5.0];no;n
431;web ontology language;includes;ontology language;['luanyi'];[1];yes;y
153;web ontology language;is;ontology language;['luanyi', 'heuristic', 'luanyi', 'heuristic', 'openie'];[5, 48, 36, 36, 6];yes;y
195;web ontology language;provides;ontology modeling;['openie'];[1];yes;y
1323;web ontology language;supports;ontology modeling;['heuristic', 'heuristic'];[3.0, 2.0];no;y
1125;web ontology language;produces;pervasive;['heuristic', 'heuristic'];[4.0, 3.0];no;n
1126;web ontology language;base;petri nets;['heuristic'];[4.0];no;n
1324;web ontology language;maintains;privacy;['heuristic'];[3.0];no;y
997;web ontology language;acquires;probability;['heuristic'];[5.0];no;n
845;web ontology language;provides;query processing;['heuristic'];[7.0];no;n
1325;web ontology language;acquires;rdf data;['heuristic'];[3.0];no;n
235;web ontology language;provides;reasoning algorithms;['heuristic'];[70];yes;y
336;web ontology language;supports;reasoning algorithms;['heuristic', 'openie'];[53, 1];yes;n
155;web ontology language;is;recommendation;['openie'];[1];yes;n
1326;web ontology language;matches;relational data models;['heuristic'];[3.0];no;n
21;web ontology language;uses;relational data models;['luanyi'];[1];yes;n
427;web ontology language;is;relational database systems;['luanyi'];[1];yes;n
1127;web ontology language;produces;relational database systems;['heuristic'];[4.0];no;n
15;web ontology language;uses;relational database systems;['luanyi', 'luanyi'];[2, 1];yes;n
419;web ontology language;provides;resource description framework (rdf);['heuristic'];[211];yes;n
1327;web ontology language;uses;resource discovery;['heuristic'];[3.0];no;n
1328;web ontology language;produces;search engines;['heuristic'];[3.0];no;n
617;web ontology language;supports;search engines;['openie', 'heuristic'];[1, 1];yes;y
89;web ontology language;is;semantic description;['luanyi', 'luanyi'];[2, 1];yes;y
998;web ontology language;provides;semantic interoperability;['heuristic'];[5.0];no;y
905;web ontology language;converts;semantic relationships;['heuristic'];[6.0];no;n
1329;web ontology language;proposes;semantic relationships;['heuristic'];[3.0];no;y
906;web ontology language;produces;semantic web rule languages;['heuristic'];[6.0];no;n
421;web ontology language;proposes;semantic web rule languages;['heuristic'];[59];yes;n
381;web ontology language;includes;semantic web services;['luanyi'];[1];yes;n
317;web ontology language;is;semantic web services;['luanyi'];[2];yes;n
283;web ontology language;defines;semantic web technologies;['heuristic'];[161];yes;n
846;web ontology language;includes;semantic web technologies;['heuristic'];[7.0];no;y
84;web ontology language;is;semantic web technologies;['luanyi', 'luanyi', 'luanyi'];[6, 43, 3];yes;y
547;web ontology language;produces;semantic web technologies;['openie'];[1];yes;n
558;web ontology language;uses;semantic web technologies;['heuristic'];[168];yes;y
675;web ontology language;is;sensors;['heuristic'];[1];yes;n
775;web ontology language;supports;software agents;['heuristic'];[1];yes;y
657;web ontology language;is;software engineering;['heuristic'];[1];yes;n
394;web ontology language;base;sparql;['heuristic'];[27];yes;n
1330;web ontology language;selects;uml models;['heuristic'];[3.0];no;n
1128;web ontology language;includes;uml profiles;['heuristic', 'heuristic'];[4.0, 3.0];no;n
443;web ontology language;uses;uml profiles;['luanyi'];[1];yes;n
1331;web ontology language;improves;understandability;['heuristic'];[3.0];no;y
999;web ontology language;defines;vocabulary;['heuristic'];[5.0];no;y
422;web ontology language;is;vocabulary;['luanyi'];[2];yes;n
806;web ontology language;proposes;vocabulary;['heuristic'];[8.0];no;n
384;web ontology language;provides;vocabulary;['openie'];[1];yes;y
1332;web ontology language;selects;web contents;['heuristic'];[3.0];no;n
260;web ontology language;uses;web of data;['luanyi'];[1];yes;n
1129;web ontology language;supports;wiki;['heuristic'];[4.0];no;y
1130;web ontology language;supports;xml data;['heuristic'];[4.0];no;y
807;web ontology language;converts;xml schemas;['heuristic'];[8.0];no;n
1333;web searches;proposes;resource description framework (rdf);['heuristic'];[3.0];no;n
544;web searches;uses;resource description framework (rdf);['luanyi'];[1];yes;y
88;web searches;uses;semantic search engines;['luanyi'];[3];yes;y
349;web service composition;uses;ontology alignment;['luanyi'];[1];yes;n
539;web service composition;uses;semantic web services;['luanyi'];[1];yes;y
1334;web service description;lacks;semantic web services;['heuristic'];[3.0];no;n
299;web service description;uses;semantic web services;['luanyi'];[6];yes;n
907;web services discovery;base;ontology alignment;['heuristic'];[6.0];no;n
45;web services discovery;uses;semantic description;['luanyi'];[1];yes;y
908;web services discovery;combines;semantic search engines;['heuristic'];[6.0];no;y
183;web services discovery;uses;semantic web services;['heuristic', 'luanyi', 'luanyi'];[29, 3, 1];yes;y
252;web-mining;uses;semantic search engines;['luanyi'];[1];yes;y
474;web-searching;uses;semantic search engines;['luanyi'];[1];yes;y
160;wiki;is;linked data;['luanyi'];[1];yes;y
681;wiki;uses;resource description framework (rdf);['heuristic'];[1];yes;y
597;wiki;provides;semantic search engines;['openie'];[1];yes;n
909;wiki;uses;semantic search engines;['heuristic'];[6.0];no;y
706;wireless sensor networks (wsn);uses;web ontology language;['heuristic'];[2];yes;n
1131;wordnet;produces;ontology alignment;['heuristic'];[4.0];no;n
1335;wordnet;converts;web ontology language;['heuristic'];[3.0];no;n
65;wordnet;is;web ontology language;['luanyi'];[2];yes;y
847;world wide web;improves;linked data;['heuristic'];[7.0];no;n
910;world wide web;converts;resource description framework (rdf);['heuristic'];[6.0];no;n
237;world wide web;is;semantic search engine;['luanyi'];[1];yes;y
1000;world wide web;recommends;web ontology language;['heuristic'];[5.0];no;n
423;xacml;is;web ontology language;['luanyi'];[1];yes;y
911;xml schemas;is;web ontology language;['heuristic'];[6.0];no;y
629;xml technology;uses;semantic search engines;['heuristic'];[1];yes;n
1336;xpath;provides;resource description framework (rdf);['heuristic'];[3.0];no;n
1337;xquery;provides;resource description framework (rdf);['heuristic'];[3.0];no;n
