,s,p,o,source,support,abstracts
145,rsm,includes,concept,heuristic,2,"['this paper introduces a reference service model ( rsm ) that closes the gap between two phenomenically contradictory service annotation paradigms : traditional semantic service frameworks and the emerging social annotation of services . rsm aims to ( i ) facilitate the semantic interlinking between services annotated using different semantic models and ( ii ) accommodate the bottom-up social annotation of services . rsm was developed following the design science research methodology . to develop rsm , existing semantic service models and soa service models were reviewed in the light of the six service contracts and examined whether and using which elements each of the models supports in each of the contracts . the identified elements were then fed to a multiphase abstraction exercise . rsm comprises of the following concepts : service , service input , service output , service context and service logic , service provider , service client and service feedback . the paper also maps the concepts of rsm to those of existing semantic service models and positions rsm with respect to related soa service models . finally , an implementation of rsm in owl and two pilot developments that highlight different aspects of rsm are discussed .']"
146,web ontology language,proposes,rsm,heuristic,1,"['this paper introduces a reference service model ( rsm ) that closes the gap between two phenomenically contradictory service annotation paradigms : traditional semantic service frameworks and the emerging social annotation of services . rsm aims to ( i ) facilitate the semantic interlinking between services annotated using different semantic models and ( ii ) accommodate the bottom-up social annotation of services . rsm was developed following the design science research methodology . to develop rsm , existing semantic service models and soa service models were reviewed in the light of the six service contracts and examined whether and using which elements each of the models supports in each of the contracts . the identified elements were then fed to a multiphase abstraction exercise . rsm comprises of the following concepts : service , service input , service output , service context and service logic , service provider , service client and service feedback . the paper also maps the concepts of rsm to those of existing semantic service models and positions rsm with respect to related soa service models . finally , an implementation of rsm in owl and two pilot developments that highlight different aspects of rsm are discussed .']"
147,gene - centric data,produces,zebrafish biology,heuristic,1,"['a large repertoire of gene-centric data has been generated in the field of zebrafish biology . although the bulk of these data are available in the public domain , most of them are not readily accessible or available in nonstandard formats . one major challenge is to unify and integrate these widely scattered data sources . we tested the hypothesis that active community participation could be a viable option to address this challenge . we present here our approach to create standards for assimilation and sharing of information and a system of open standards for database intercommunication . we have attempted to address this challenge by creating a community-centric solution for zebrafish gene annotation . the zebrafish genomewiki is a wiki-based resource , which aims to provide an altruistic shared environment for collective annotation of the zebrafish genes . the zebrafish genomewiki has features that enable users to comment , annotate , edit and rate this gene-centric information . the credits for contributions can be tracked through a transparent microattribution system . in contrast to other wikis , the zebrafish genomewiki is a structured wiki or rather a semantic wiki . the zebrafish genomewiki implements a semantically linked data structure , which in the future would be amenable to semantic search. # r # # n # # r # # n # database url : http : //genome.igib.res.in/twiki']"
148,public domain,skos:broader/is/hyponym-of,nonstandard format,heuristic,1,"['a large repertoire of gene-centric data has been generated in the field of zebrafish biology . although the bulk of these data are available in the public domain , most of them are not readily accessible or available in nonstandard formats . one major challenge is to unify and integrate these widely scattered data sources . we tested the hypothesis that active community participation could be a viable option to address this challenge . we present here our approach to create standards for assimilation and sharing of information and a system of open standards for database intercommunication . we have attempted to address this challenge by creating a community-centric solution for zebrafish gene annotation . the zebrafish genomewiki is a wiki-based resource , which aims to provide an altruistic shared environment for collective annotation of the zebrafish genes . the zebrafish genomewiki has features that enable users to comment , annotate , edit and rate this gene-centric information . the credits for contributions can be tracked through a transparent microattribution system . in contrast to other wikis , the zebrafish genomewiki is a structured wiki or rather a semantic wiki . the zebrafish genomewiki implements a semantically linked data structure , which in the future would be amenable to semantic search. # r # # n # # r # # n # database url : http : //genome.igib.res.in/twiki']"
149,zebrafish genomewiki,provides,collective annotation of the zebrafish gene,heuristic,3,"['a large repertoire of gene-centric data has been generated in the field of zebrafish biology . although the bulk of these data are available in the public domain , most of them are not readily accessible or available in nonstandard formats . one major challenge is to unify and integrate these widely scattered data sources . we tested the hypothesis that active community participation could be a viable option to address this challenge . we present here our approach to create standards for assimilation and sharing of information and a system of open standards for database intercommunication . we have attempted to address this challenge by creating a community-centric solution for zebrafish gene annotation . the zebrafish genomewiki is a wiki-based resource , which aims to provide an altruistic shared environment for collective annotation of the zebrafish genes . the zebrafish genomewiki has features that enable users to comment , annotate , edit and rate this gene-centric information . the credits for contributions can be tracked through a transparent microattribution system . in contrast to other wikis , the zebrafish genomewiki is a structured wiki or rather a semantic wiki . the zebrafish genomewiki implements a semantically linked data structure , which in the future would be amenable to semantic search. # r # # n # # r # # n # database url : http : //genome.igib.res.in/twiki']"
150,zebrafish genomewiki,affects,gene - centric information,heuristic,5,"['a large repertoire of gene-centric data has been generated in the field of zebrafish biology . although the bulk of these data are available in the public domain , most of them are not readily accessible or available in nonstandard formats . one major challenge is to unify and integrate these widely scattered data sources . we tested the hypothesis that active community participation could be a viable option to address this challenge . we present here our approach to create standards for assimilation and sharing of information and a system of open standards for database intercommunication . we have attempted to address this challenge by creating a community-centric solution for zebrafish gene annotation . the zebrafish genomewiki is a wiki-based resource , which aims to provide an altruistic shared environment for collective annotation of the zebrafish genes . the zebrafish genomewiki has features that enable users to comment , annotate , edit and rate this gene-centric information . the credits for contributions can be tracked through a transparent microattribution system . in contrast to other wikis , the zebrafish genomewiki is a structured wiki or rather a semantic wiki . the zebrafish genomewiki implements a semantically linked data structure , which in the future would be amenable to semantic search. # r # # n # # r # # n # database url : http : //genome.igib.res.in/twiki']"
151,semantically linked data structure,skos:broader/is/hyponym-of,semantic search engines,heuristic,1,"['a large repertoire of gene-centric data has been generated in the field of zebrafish biology . although the bulk of these data are available in the public domain , most of them are not readily accessible or available in nonstandard formats . one major challenge is to unify and integrate these widely scattered data sources . we tested the hypothesis that active community participation could be a viable option to address this challenge . we present here our approach to create standards for assimilation and sharing of information and a system of open standards for database intercommunication . we have attempted to address this challenge by creating a community-centric solution for zebrafish gene annotation . the zebrafish genomewiki is a wiki-based resource , which aims to provide an altruistic shared environment for collective annotation of the zebrafish genes . the zebrafish genomewiki has features that enable users to comment , annotate , edit and rate this gene-centric information . the credits for contributions can be tracked through a transparent microattribution system . in contrast to other wikis , the zebrafish genomewiki is a structured wiki or rather a semantic wiki . the zebrafish genomewiki implements a semantically linked data structure , which in the future would be amenable to semantic search. # r # # n # # r # # n # database url : http : //genome.igib.res.in/twiki']"
152,zebrafish genomewiki,produces,semantically linked data structure,heuristic,1,"['a large repertoire of gene-centric data has been generated in the field of zebrafish biology . although the bulk of these data are available in the public domain , most of them are not readily accessible or available in nonstandard formats . one major challenge is to unify and integrate these widely scattered data sources . we tested the hypothesis that active community participation could be a viable option to address this challenge . we present here our approach to create standards for assimilation and sharing of information and a system of open standards for database intercommunication . we have attempted to address this challenge by creating a community-centric solution for zebrafish gene annotation . the zebrafish genomewiki is a wiki-based resource , which aims to provide an altruistic shared environment for collective annotation of the zebrafish genes . the zebrafish genomewiki has features that enable users to comment , annotate , edit and rate this gene-centric information . the credits for contributions can be tracked through a transparent microattribution system . in contrast to other wikis , the zebrafish genomewiki is a structured wiki or rather a semantic wiki . the zebrafish genomewiki implements a semantically linked data structure , which in the future would be amenable to semantic search. # r # # n # # r # # n # database url : http : //genome.igib.res.in/twiki']"
153,zebrafish genomewiki,links,semantic search engines,heuristic,3,"['a large repertoire of gene-centric data has been generated in the field of zebrafish biology . although the bulk of these data are available in the public domain , most of them are not readily accessible or available in nonstandard formats . one major challenge is to unify and integrate these widely scattered data sources . we tested the hypothesis that active community participation could be a viable option to address this challenge . we present here our approach to create standards for assimilation and sharing of information and a system of open standards for database intercommunication . we have attempted to address this challenge by creating a community-centric solution for zebrafish gene annotation . the zebrafish genomewiki is a wiki-based resource , which aims to provide an altruistic shared environment for collective annotation of the zebrafish genes . the zebrafish genomewiki has features that enable users to comment , annotate , edit and rate this gene-centric information . the credits for contributions can be tracked through a transparent microattribution system . in contrast to other wikis , the zebrafish genomewiki is a structured wiki or rather a semantic wiki . the zebrafish genomewiki implements a semantically linked data structure , which in the future would be amenable to semantic search. # r # # n # # r # # n # database url : http : //genome.igib.res.in/twiki']"
154,automated argument system,based-on,argument - based recommender system,heuristic,2,"['we demonstrate the basic features and advantages of automated argument system based on logic of multiple-valued argumentation by applying it to three convincing arguments : ( i ) argument-based recommender system , ( ii ) schedule management system and ( iii ) an integrated system of semantic web reasoning and argument-based reasoning .']"
155,automated argument system,based-on,logic of multiple - valued argumentation,heuristic,1,"['we demonstrate the basic features and advantages of automated argument system based on logic of multiple-valued argumentation by applying it to three convincing arguments : ( i ) argument-based recommender system , ( ii ) schedule management system and ( iii ) an integrated system of semantic web reasoning and argument-based reasoning .']"
156,automated argument system,based-on,it,heuristic,2,"['we demonstrate the basic features and advantages of automated argument system based on logic of multiple-valued argumentation by applying it to three convincing arguments : ( i ) argument-based recommender system , ( ii ) schedule management system and ( iii ) an integrated system of semantic web reasoning and argument-based reasoning .']"
157,semantic web tool,supports,networked knowledge acquisition,heuristic,1,"['this paper details the use of semantic web tools for supporting networked knowledge acquisition , search and sharing in large distributed organisations . the demonstration will showcase from a user perspective an application developed to aid knowledge management in large organisations , detailing the problems and technical solutions employed .']"
158,user perspective,produces,knowledge management,heuristic,2,"['this paper details the use of semantic web tools for supporting networked knowledge acquisition , search and sharing in large distributed organisations . the demonstration will showcase from a user perspective an application developed to aid knowledge management in large organisations , detailing the problems and technical solutions employed .']"
159,semantic web technologies,guides,semantic relationships,heuristic,1,"[""this paper focuses on a next generation collaborative infrastructure . new developments in the computer science field , including semantic web , peer-to-peer , or natural language processing , will lead to new forms of collaboration and `` social semantic information spaces '' . these will have great impact on scientific communication .""]"
160,natural language processing systems,guides,semantic relationships,heuristic,1,"[""this paper focuses on a next generation collaborative infrastructure . new developments in the computer science field , including semantic web , peer-to-peer , or natural language processing , will lead to new forms of collaboration and `` social semantic information spaces '' . these will have great impact on scientific communication .""]"
161,arc rdf environment,combines,mashup,heuristic,2,"[""an approach towards formalizing the visualization of semantic web data is proposed in this paper . existing apis , like the dojo toolkit , the arc rdf environment , dbpedia and google fusion tables are combined in order to develop a `` mashup '' related to information and knowledge about the mediterranean sea .""]"
162,dojo toolkit,combines,mashup,heuristic,2,"[""an approach towards formalizing the visualization of semantic web data is proposed in this paper . existing apis , like the dojo toolkit , the arc rdf environment , dbpedia and google fusion tables are combined in order to develop a `` mashup '' related to information and knowledge about the mediterranean sea .""]"
163,ontology automatically.a method,proposes,ontology construction,heuristic,3,"['ontology plays a key role in the semantic web , but there exist problems in manually constructed ontology and it is impossible to construct ontology automatically.a method has been proposed for constructing ontology semi-automatically by reusing wordnet , and it can be applied in ontology construction efficiently .']"
164,manually constructed ontology,produces,ontology automatically.a method,heuristic,2,"['ontology plays a key role in the semantic web , but there exist problems in manually constructed ontology and it is impossible to construct ontology automatically.a method has been proposed for constructing ontology semi-automatically by reusing wordnet , and it can be applied in ontology construction efficiently .']"
165,manually constructed ontology,produces,wordnet,heuristic,5,"['ontology plays a key role in the semantic web , but there exist problems in manually constructed ontology and it is impossible to construct ontology automatically.a method has been proposed for constructing ontology semi-automatically by reusing wordnet , and it can be applied in ontology construction efficiently .']"
166,semantic web technologies,produces,ontology automatically.a method,heuristic,4,"['ontology plays a key role in the semantic web , but there exist problems in manually constructed ontology and it is impossible to construct ontology automatically.a method has been proposed for constructing ontology semi-automatically by reusing wordnet , and it can be applied in ontology construction efficiently .']"
167,ontology automatically.a method,proposes,wordnet,heuristic,3,"['ontology plays a key role in the semantic web , but there exist problems in manually constructed ontology and it is impossible to construct ontology automatically.a method has been proposed for constructing ontology semi-automatically by reusing wordnet , and it can be applied in ontology construction efficiently .']"
168,it,produces,ontology automatically.a method,heuristic,2,"['ontology plays a key role in the semantic web , but there exist problems in manually constructed ontology and it is impossible to construct ontology automatically.a method has been proposed for constructing ontology semi-automatically by reusing wordnet , and it can be applied in ontology construction efficiently .']"
169,ontology automatically.a method,proposes,it,heuristic,3,"['ontology plays a key role in the semantic web , but there exist problems in manually constructed ontology and it is impossible to construct ontology automatically.a method has been proposed for constructing ontology semi-automatically by reusing wordnet , and it can be applied in ontology construction efficiently .']"
170,it,produces,wordnet,heuristic,5,"['ontology plays a key role in the semantic web , but there exist problems in manually constructed ontology and it is impossible to construct ontology automatically.a method has been proposed for constructing ontology semi-automatically by reusing wordnet , and it can be applied in ontology construction efficiently .']"
171,agent technology,automates,interoperation,heuristic,1,"['the authors propose the markup of web services in the daml family of semantic web markup languages . this markup enables a wide variety of agent technologies for automated web service discovery , execution , composition and interoperation . the authors present one such technology for automated web service composition .']"
172,agent technology,automates,execution,heuristic,1,"['the authors propose the markup of web services in the daml family of semantic web markup languages . this markup enables a wide variety of agent technologies for automated web service discovery , execution , composition and interoperation . the authors present one such technology for automated web service composition .']"
173,agent technology,automates,composition,heuristic,1,"['the authors propose the markup of web services in the daml family of semantic web markup languages . this markup enables a wide variety of agent technologies for automated web service discovery , execution , composition and interoperation . the authors present one such technology for automated web service composition .']"
174,semantic service integration,supports,environmental resource,heuristic,1,['problems of semantic service integration to enable interoperability between an intelligent decision support system of supply networks participants and environmental resources are considered .']
175,semantic search system,based-on,ontology retrieval technology,heuristic,2,"[""a semantic search system of deep web is designed and implemented based on the approach of ontology retrieval technology aim to deep web characteristics.then , the new system can meet the users ' need to obtain the high valued deep web information .""]"
176,semantic search system,based-on,deep web characteristics.then,heuristic,2,"[""a semantic search system of deep web is designed and implemented based on the approach of ontology retrieval technology aim to deep web characteristics.then , the new system can meet the users ' need to obtain the high valued deep web information .""]"
177,semantic search engine framework,based-on,ontologies,heuristic,1,"[""the paper brings forth a semantic search engine framework based on ontology , the technology overcomes traditional search engine 's shortcomings such as poor semantic processing capability and understanding capability because of the adoption of text retrieval and greatly lifts the retrieval efficiency .""]"
178,internet and cloud computing,produces,semantic search engines,heuristic,1,"[""qian xuesen 's noetic science , open giant complex system theories and metasynthetic engineering were discussed.with the development of internet and cloud computing , the research and theories can be applied to build a human-like world 's knowledge system for semantic search engine .""]"
179,metasynthetic engineering,skos:broader/is/hyponym-of,internet and cloud computing,heuristic,1,"[""qian xuesen 's noetic science , open giant complex system theories and metasynthetic engineering were discussed.with the development of internet and cloud computing , the research and theories can be applied to build a human-like world 's knowledge system for semantic search engine .""]"
180,internet and cloud computing,produces,human - like world 's knowledge system,heuristic,1,"[""qian xuesen 's noetic science , open giant complex system theories and metasynthetic engineering were discussed.with the development of internet and cloud computing , the research and theories can be applied to build a human-like world 's knowledge system for semantic search engine .""]"
181,ontologies,improves,small - world effect,heuristic,3,"['according to tim-berners lee , the inventor of the www , a semantic web in which software agents find meanings of terms that describe tasks it performs is the next progression of the web . ontologies as repositories of these machine-interpretable meanings are key to his vision . however , ontologies are distributed and not , and will likely never , be centrally organized . enabling agents to find the right meanings then is an important challenge for realizing the semantic web . as ontologies evolve , they will likely form in clusters exhibiting small-world effects , just like web pages . in th is paper , questions about bring to bear findings from social network analysis to the design of these ontologies are raised . one questions stems from the argument that ontology use over a compet ing technology ( xml ) may occur when mitigating uncertainty is important . a research direction to study social networks for dealing with uncertainty then is posited .']"
182,ontologies,improves,web contents,heuristic,3,"['according to tim-berners lee , the inventor of the www , a semantic web in which software agents find meanings of terms that describe tasks it performs is the next progression of the web . ontologies as repositories of these machine-interpretable meanings are key to his vision . however , ontologies are distributed and not , and will likely never , be centrally organized . enabling agents to find the right meanings then is an important challenge for realizing the semantic web . as ontologies evolve , they will likely form in clusters exhibiting small-world effects , just like web pages . in th is paper , questions about bring to bear findings from social network analysis to the design of these ontologies are raised . one questions stems from the argument that ontology use over a compet ing technology ( xml ) may occur when mitigating uncertainty is important . a research direction to study social networks for dealing with uncertainty then is posited .']"
183,databases and information system,guides,information systems,heuristic,1,"[""steffen staab is professor for databases and information systems at the university of koblenz-landau , leading the research group on information systems and semantic web ( isweb ) . his interests lie in researching core technology for ontologies and semantic web as well as in applied research for exploiting these technologies for knowledge management , multimedia and software technology.he has participated in numerous national , european and intercontinental research projects on these different subjects and his research has led to more than 100 refereed contributions in journals and conferences . dr. staab held positions as researcher , project leader and lecturer at the university of freiburg , the university of stuttgart/fraunhofer institute iao , and the university of karlsruhe and he is a co-founder of ontoprise gmbh . he is on several journal editorial boards and is incoming editor-in-chief of elsevier 's journal of web semantics . for more information see : http : //isweb.unikoblenz . de/ and http : //www.uni-koblenz.de/ staab/""]"
184,databases and information system,guides,semantic web technologies,heuristic,1,"[""steffen staab is professor for databases and information systems at the university of koblenz-landau , leading the research group on information systems and semantic web ( isweb ) . his interests lie in researching core technology for ontologies and semantic web as well as in applied research for exploiting these technologies for knowledge management , multimedia and software technology.he has participated in numerous national , european and intercontinental research projects on these different subjects and his research has led to more than 100 refereed contributions in journals and conferences . dr. staab held positions as researcher , project leader and lecturer at the university of freiburg , the university of stuttgart/fraunhofer institute iao , and the university of karlsruhe and he is a co-founder of ontoprise gmbh . he is on several journal editorial boards and is incoming editor-in-chief of elsevier 's journal of web semantics . for more information see : http : //isweb.unikoblenz . de/ and http : //www.uni-koblenz.de/ staab/""]"
185,semantic web technologies,provides,human - oriented web service,heuristic,3,"['the semantic web is a powerful vision that is getting to grips with the challenge of providing more human-oriented web services . hence , reasoning with and across distributed , partially implicit assumptions ( contextual knowledge ) , is a milestone . ontologies are a primary means to deploy the semantic web vision , but few work has been done on them to manage the context-dependency of web knowledge . in this paper we introduce an ontology for representing a variety of reified contexts and states of affairs , called d & s , currently implemented as a plug-in to the dolce foundational ontology , and its application to two casts : an ontology for communication situations and roles , and an ontology for peer-to-peer communication . the reified contexts represented in d & s have a rich structure , and are a middleware between full-fledged formal contexts and theories , and the often poor vocabularies implemented in web ontologies ...']"
186,reasoning algorithms,provides,contextual knowledge,heuristic,1,"['the semantic web is a powerful vision that is getting to grips with the challenge of providing more human-oriented web services . hence , reasoning with and across distributed , partially implicit assumptions ( contextual knowledge ) , is a milestone . ontologies are a primary means to deploy the semantic web vision , but few work has been done on them to manage the context-dependency of web knowledge . in this paper we introduce an ontology for representing a variety of reified contexts and states of affairs , called d & s , currently implemented as a plug-in to the dolce foundational ontology , and its application to two casts : an ontology for communication situations and roles , and an ontology for peer-to-peer communication . the reified contexts represented in d & s have a rich structure , and are a middleware between full-fledged formal contexts and theories , and the often poor vocabularies implemented in web ontologies ...']"
187,semantic web vision,maintains,context - dependency of web knowledge,heuristic,2,"['the semantic web is a powerful vision that is getting to grips with the challenge of providing more human-oriented web services . hence , reasoning with and across distributed , partially implicit assumptions ( contextual knowledge ) , is a milestone . ontologies are a primary means to deploy the semantic web vision , but few work has been done on them to manage the context-dependency of web knowledge . in this paper we introduce an ontology for representing a variety of reified contexts and states of affairs , called d & s , currently implemented as a plug-in to the dolce foundational ontology , and its application to two casts : an ontology for communication situations and roles , and an ontology for peer-to-peer communication . the reified contexts represented in d & s have a rich structure , and are a middleware between full-fledged formal contexts and theories , and the often poor vocabularies implemented in web ontologies ...']"
188,ontologies,produces,semantic web vision,heuristic,2,"['the semantic web is a powerful vision that is getting to grips with the challenge of providing more human-oriented web services . hence , reasoning with and across distributed , partially implicit assumptions ( contextual knowledge ) , is a milestone . ontologies are a primary means to deploy the semantic web vision , but few work has been done on them to manage the context-dependency of web knowledge . in this paper we introduce an ontology for representing a variety of reified contexts and states of affairs , called d & s , currently implemented as a plug-in to the dolce foundational ontology , and its application to two casts : an ontology for communication situations and roles , and an ontology for peer-to-peer communication . the reified contexts represented in d & s have a rich structure , and are a middleware between full-fledged formal contexts and theories , and the often poor vocabularies implemented in web ontologies ...']"
189,full - fledged formal context,produces,web ontology,heuristic,1,"['the semantic web is a powerful vision that is getting to grips with the challenge of providing more human-oriented web services . hence , reasoning with and across distributed , partially implicit assumptions ( contextual knowledge ) , is a milestone . ontologies are a primary means to deploy the semantic web vision , but few work has been done on them to manage the context-dependency of web knowledge . in this paper we introduce an ontology for representing a variety of reified contexts and states of affairs , called d & s , currently implemented as a plug-in to the dolce foundational ontology , and its application to two casts : an ontology for communication situations and roles , and an ontology for peer-to-peer communication . the reified contexts represented in d & s have a rich structure , and are a middleware between full-fledged formal contexts and theories , and the often poor vocabularies implemented in web ontologies ...']"
190,reified context,represents,full - fledged formal context,heuristic,3,"['the semantic web is a powerful vision that is getting to grips with the challenge of providing more human-oriented web services . hence , reasoning with and across distributed , partially implicit assumptions ( contextual knowledge ) , is a milestone . ontologies are a primary means to deploy the semantic web vision , but few work has been done on them to manage the context-dependency of web knowledge . in this paper we introduce an ontology for representing a variety of reified contexts and states of affairs , called d & s , currently implemented as a plug-in to the dolce foundational ontology , and its application to two casts : an ontology for communication situations and roles , and an ontology for peer-to-peer communication . the reified contexts represented in d & s have a rich structure , and are a middleware between full-fledged formal contexts and theories , and the often poor vocabularies implemented in web ontologies ...']"
191,modularity of service product design,proposes,ontology - based service product modeling approach,heuristic,1,"['mass customization ( mc ) paradigm is getting crucial to service industry.this paper stated the mechanism of realization and key technology of mass customization in service product.considered modularity basic for service product family and platform.aiming to facilitate the sharing and reusing of the service product configuration model , based on the modularity of service product design , presented an ontology-based service product modeling approach for configuration.formalized the feature-based service model in owl ( ontology web language ) -an ontology language for semantic web , and formalized configuration rules in swrl ( semantic web rule language ) -a rule language.performed configuration reasoning processes with the support of jess ( java expert system shell ) rule engine.the proposed approach to service customization was demonstrated by an example of configuring service packages for china mobile.the approach is proved to be effective and easy to reuse and share , but how to optimize the configuration results is left to be studied later .']"
192,service product configuration model,based-on,modularity of service product design,heuristic,1,"['mass customization ( mc ) paradigm is getting crucial to service industry.this paper stated the mechanism of realization and key technology of mass customization in service product.considered modularity basic for service product family and platform.aiming to facilitate the sharing and reusing of the service product configuration model , based on the modularity of service product design , presented an ontology-based service product modeling approach for configuration.formalized the feature-based service model in owl ( ontology web language ) -an ontology language for semantic web , and formalized configuration rules in swrl ( semantic web rule language ) -a rule language.performed configuration reasoning processes with the support of jess ( java expert system shell ) rule engine.the proposed approach to service customization was demonstrated by an example of configuring service packages for china mobile.the approach is proved to be effective and easy to reuse and share , but how to optimize the configuration results is left to be studied later .']"
193,modularity of service product design,proposes,feature - based service model,heuristic,2,"['mass customization ( mc ) paradigm is getting crucial to service industry.this paper stated the mechanism of realization and key technology of mass customization in service product.considered modularity basic for service product family and platform.aiming to facilitate the sharing and reusing of the service product configuration model , based on the modularity of service product design , presented an ontology-based service product modeling approach for configuration.formalized the feature-based service model in owl ( ontology web language ) -an ontology language for semantic web , and formalized configuration rules in swrl ( semantic web rule language ) -a rule language.performed configuration reasoning processes with the support of jess ( java expert system shell ) rule engine.the proposed approach to service customization was demonstrated by an example of configuring service packages for china mobile.the approach is proved to be effective and easy to reuse and share , but how to optimize the configuration results is left to be studied later .']"
194,service product configuration model,based-on,ontology - based service product modeling approach,heuristic,2,"['mass customization ( mc ) paradigm is getting crucial to service industry.this paper stated the mechanism of realization and key technology of mass customization in service product.considered modularity basic for service product family and platform.aiming to facilitate the sharing and reusing of the service product configuration model , based on the modularity of service product design , presented an ontology-based service product modeling approach for configuration.formalized the feature-based service model in owl ( ontology web language ) -an ontology language for semantic web , and formalized configuration rules in swrl ( semantic web rule language ) -a rule language.performed configuration reasoning processes with the support of jess ( java expert system shell ) rule engine.the proposed approach to service customization was demonstrated by an example of configuring service packages for china mobile.the approach is proved to be effective and easy to reuse and share , but how to optimize the configuration results is left to be studied later .']"
195,jes,proposes,service customization,heuristic,1,"['mass customization ( mc ) paradigm is getting crucial to service industry.this paper stated the mechanism of realization and key technology of mass customization in service product.considered modularity basic for service product family and platform.aiming to facilitate the sharing and reusing of the service product configuration model , based on the modularity of service product design , presented an ontology-based service product modeling approach for configuration.formalized the feature-based service model in owl ( ontology web language ) -an ontology language for semantic web , and formalized configuration rules in swrl ( semantic web rule language ) -a rule language.performed configuration reasoning processes with the support of jess ( java expert system shell ) rule engine.the proposed approach to service customization was demonstrated by an example of configuring service packages for china mobile.the approach is proved to be effective and easy to reuse and share , but how to optimize the configuration results is left to be studied later .']"
196,ontology language,defines,semantic web rule language,heuristic,1,"['mass customization ( mc ) paradigm is getting crucial to service industry.this paper stated the mechanism of realization and key technology of mass customization in service product.considered modularity basic for service product family and platform.aiming to facilitate the sharing and reusing of the service product configuration model , based on the modularity of service product design , presented an ontology-based service product modeling approach for configuration.formalized the feature-based service model in owl ( ontology web language ) -an ontology language for semantic web , and formalized configuration rules in swrl ( semantic web rule language ) -a rule language.performed configuration reasoning processes with the support of jess ( java expert system shell ) rule engine.the proposed approach to service customization was demonstrated by an example of configuring service packages for china mobile.the approach is proved to be effective and easy to reuse and share , but how to optimize the configuration results is left to be studied later .']"
197,ontology language,defines,rule language.performed configuration reasoning process,heuristic,1,"['mass customization ( mc ) paradigm is getting crucial to service industry.this paper stated the mechanism of realization and key technology of mass customization in service product.considered modularity basic for service product family and platform.aiming to facilitate the sharing and reusing of the service product configuration model , based on the modularity of service product design , presented an ontology-based service product modeling approach for configuration.formalized the feature-based service model in owl ( ontology web language ) -an ontology language for semantic web , and formalized configuration rules in swrl ( semantic web rule language ) -a rule language.performed configuration reasoning processes with the support of jess ( java expert system shell ) rule engine.the proposed approach to service customization was demonstrated by an example of configuring service packages for china mobile.the approach is proved to be effective and easy to reuse and share , but how to optimize the configuration results is left to be studied later .']"
198,ontology language,defines,semantic web technologies,heuristic,1,"['mass customization ( mc ) paradigm is getting crucial to service industry.this paper stated the mechanism of realization and key technology of mass customization in service product.considered modularity basic for service product family and platform.aiming to facilitate the sharing and reusing of the service product configuration model , based on the modularity of service product design , presented an ontology-based service product modeling approach for configuration.formalized the feature-based service model in owl ( ontology web language ) -an ontology language for semantic web , and formalized configuration rules in swrl ( semantic web rule language ) -a rule language.performed configuration reasoning processes with the support of jess ( java expert system shell ) rule engine.the proposed approach to service customization was demonstrated by an example of configuring service packages for china mobile.the approach is proved to be effective and easy to reuse and share , but how to optimize the configuration results is left to be studied later .']"
199,ontology language,defines,semantic web rule languages,heuristic,1,"['mass customization ( mc ) paradigm is getting crucial to service industry.this paper stated the mechanism of realization and key technology of mass customization in service product.considered modularity basic for service product family and platform.aiming to facilitate the sharing and reusing of the service product configuration model , based on the modularity of service product design , presented an ontology-based service product modeling approach for configuration.formalized the feature-based service model in owl ( ontology web language ) -an ontology language for semantic web , and formalized configuration rules in swrl ( semantic web rule language ) -a rule language.performed configuration reasoning processes with the support of jess ( java expert system shell ) rule engine.the proposed approach to service customization was demonstrated by an example of configuring service packages for china mobile.the approach is proved to be effective and easy to reuse and share , but how to optimize the configuration results is left to be studied later .']"
200,semantic web technologies,defines,semantic web rule language,heuristic,1,"['mass customization ( mc ) paradigm is getting crucial to service industry.this paper stated the mechanism of realization and key technology of mass customization in service product.considered modularity basic for service product family and platform.aiming to facilitate the sharing and reusing of the service product configuration model , based on the modularity of service product design , presented an ontology-based service product modeling approach for configuration.formalized the feature-based service model in owl ( ontology web language ) -an ontology language for semantic web , and formalized configuration rules in swrl ( semantic web rule language ) -a rule language.performed configuration reasoning processes with the support of jess ( java expert system shell ) rule engine.the proposed approach to service customization was demonstrated by an example of configuring service packages for china mobile.the approach is proved to be effective and easy to reuse and share , but how to optimize the configuration results is left to be studied later .']"
